"","STATENAME","URL","WEBSITE","ACTIVITY.LEVEL","ACTIVITY.LEVEL.LABEL","WEEKEND","WEEK","SEASON","integerActivityLevel"
"168","Colorado","https://www.colorado.gov/pacific/cdphe/influenza","Influenza Surveillance","Level 2","Minimal","Oct-27-2018",43,"2018-19",2
"169","Connecticut","http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics","Flu Statistics","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"170","Delaware","http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html","Weekly Influenza Surveillance Reports","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"171","District of Columbia","http://doh.dc.gov/page/influenza-season","Influenza Information","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"172","Florida","http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20","Weekly Influenza Surveillance Reports","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"173","Georgia","https://dph.georgia.gov/flu-activity-georgia","Weekly Influenza Surveillance in Georgia","Level 5","Low","Oct-27-2018",43,"2018-19",5
"174","Hawaii","http://health.hawaii.gov/docd/resources/reports/influenza-reports/","Hawaii's Influenza Surveillance Program","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"175","Idaho","http://flu.idaho.gov","Influenza","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"176","Illinois","http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance","Seasonal Influenza Surveillance Reports","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"177","Indiana","http://www.in.gov/isdh/22104.htm","Influenza in Indiana","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"178","Iowa","http://idph.iowa.gov/influenza/surveillance","Iowa Influenza Surveillance Network","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"179","Kansas","http://www.kdheks.gov/flu/surveillance.htm","Influenza Information","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"180","Kentucky","https://chfs.ky.gov/agencies/dph/dehp/idb/Pages/influenza.aspx","Influenza - Flu","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"181","Louisiana","http://new.dhh.louisiana.gov/index.cfm/page/1591","Influenza","Level 5","Low","Oct-27-2018",43,"2018-19",5
"182","Maine","http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml","Weekly Surveillance Updates","Level 2","Minimal","Oct-27-2018",43,"2018-19",2
"183","Maryland","https://phpa.health.maryland.gov/influenza/fluwatch","Influenza Surveillance","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"184","Massachusetts","http://blog.mass.gov/publichealth/category/flu-facts/","Influenza Surveillance Data","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"185","Michigan","http://www.michigan.gov/mdch/0%252c1607%252c7-132-2940_2955_22779_40563_48357-191722--%252c00.html","Influenza Activity and Surveillance","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"186","Minnesota","http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html","Weekly Influenza Activity: Statistics","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"187","Mississippi","http://www.msdh.state.ms.us/msdhsite/_static/14%252c0%252c199%252c230.html","Mississippi Flu Surveillance and Influenza-Like Illness Reports","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"188","Missouri","http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php","Influenza Data & Statistical Reports ","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"189","Montana","http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx","Influenza: What You Need to Know","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"190","Nebraska","http://dhhs.ne.gov/publichealth/Pages/flu.aspx","Weekly Flu Report","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"191","Nevada","http://dpbh.nv.gov/Programs/OPHIE/dta/Publications/Public_Health_Informatics_and_Epidemiology_(OPHIE)_-_Publications/","Influenza (Flu): Surveillance, News Releases and Brochures","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"192","New Hampshire","http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm","Influenza Control and Surveillance","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"193","New Jersey","http://www.nj.gov/health/cd/topics/flu.shtml","Seasonal Influenza - Surveillance","Level 3","Minimal","Oct-27-2018",43,"2018-19",3
"194","New Mexico","https://nmhealth.org/about/erd/ideb/isp/","Flu in New Mexico","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"195","New York","http://www.health.ny.gov/diseases/communicable/influenza/surveillance/","Influenza Activity, Surveillance and Reports","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"196","North Carolina","http://www.flu.nc.gov/%20","North Carolina Influenza Update","Level 2","Minimal","Oct-27-2018",43,"2018-19",2
"197","North Dakota","http://www.ndflu.com/default.aspx","Influenza","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"198","Ohio","http://www.flu.ohio.gov%20","Influenza Information","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"199","Oklahoma","https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html","Influenza Information","Level 2","Minimal","Oct-27-2018",43,"2018-19",2
"200","Oregon","http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx","Influenza Disease Surveillance Data","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"201","Pennsylvania","http://www.flufreepa.com","Influenza Weekly Report ","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"202","Rhode Island","http://www.health.ri.gov/data/flu/index.php","Influenza Surveillance","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"203","South Carolina","http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/","Influenza Activity and Surveillance","Level 3","Minimal","Oct-27-2018",43,"2018-19",3
"204","South Dakota","http://doh.sd.gov/diseases/infectious/flu/default.aspx","Influenza Information","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"205","Tennessee","http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html","Influenza-Like Illness Surveillance Summary Archive","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"206","Texas","http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/","Influenza Surveillance","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"207","Utah","http://health.utah.gov/epi/diseases/influenza/surveillance/index.html","Seasonal Influenza Weekly Update","Level 2","Minimal","Oct-27-2018",43,"2018-19",2
"208","Vermont","http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance","Flu Activity","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"209","Virginia","http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/","Virginia Weekly Influenza Activity Report","Level 3","Minimal","Oct-27-2018",43,"2018-19",3
"210","Washington","http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData","Influenza Update","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"211","West Virginia","http://www.dhhr.wv.gov/oeps/disease/flu/Pages/fluSurveillance.aspx","Current Influenza Surveillance","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"212","Wisconsin","http://www.dhs.wisconsin.gov/communicable/influenza/index.htm","Tracking Influenza in Wisconsin","Level 2","Minimal","Oct-27-2018",43,"2018-19",2
"213","Wyoming","https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/","Influenza","Level 1","Minimal","Oct-27-2018",43,"2018-19",1
"214","New York City","http://www1.nyc.gov/site/doh/providers/health-topics/flu-alerts.page","Surveillance Data","Level 4","Low","Oct-27-2018",43,"2018-19",4
"215","Puerto Rico","http://www.salud.gov.pr/Estadisticas-Registros-y-Publicaciones/Pages/Influenza.aspx","Puerto Rico Departamento de Salud","Level 2","Minimal","Oct-27-2018",43,"2018-19",2
"216","Virgin Islands","http://doh.vi.gov/","Influenza","Level 2","Minimal","Oct-27-2018",43,"2018-19",2
"217","Alabama","http://adph.org/influenza/","Influenza Surveillance","Level 4","Low","Nov-03-2018",44,"2018-19",4
"218","Alaska","http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20","Influenza Surveillance Report","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"219","Arizona","http://www.azdhs.gov/phs/oids/epi/flu/index.htm","Influenza & RSV Surveillance","Level 2","Minimal","Nov-03-2018",44,"2018-19",2
"220","Arkansas","http://www.healthy.arkansas.gov/programs-services/topics/influenza","Communicable Disease and Immunizations","Level 2","Minimal","Nov-03-2018",44,"2018-19",2
"221","California","https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx","Influenza (Flu)","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"222","Colorado","https://www.colorado.gov/pacific/cdphe/influenza","Influenza Surveillance","Level 3","Minimal","Nov-03-2018",44,"2018-19",3
"223","Connecticut","http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics","Flu Statistics","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"224","Delaware","http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html","Weekly Influenza Surveillance Reports","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"225","District of Columbia","http://doh.dc.gov/page/influenza-season","Influenza Information","Level 2","Minimal","Nov-03-2018",44,"2018-19",2
"226","Florida","http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20","Weekly Influenza Surveillance Reports","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"227","Georgia","https://dph.georgia.gov/flu-activity-georgia","Weekly Influenza Surveillance in Georgia","Level 6","Moderate","Nov-03-2018",44,"2018-19",6
"228","Hawaii","http://health.hawaii.gov/docd/resources/reports/influenza-reports/","Hawaii's Influenza Surveillance Program","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"229","Idaho","http://flu.idaho.gov","Influenza","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"230","Illinois","http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance","Seasonal Influenza Surveillance Reports","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"231","Indiana","http://www.in.gov/isdh/22104.htm","Influenza in Indiana","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"232","Iowa","http://idph.iowa.gov/influenza/surveillance","Iowa Influenza Surveillance Network","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"233","Kansas","http://www.kdheks.gov/flu/surveillance.htm","Influenza Information","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"234","Kentucky","https://chfs.ky.gov/agencies/dph/dehp/idb/Pages/influenza.aspx","Influenza - Flu","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"235","Louisiana","http://new.dhh.louisiana.gov/index.cfm/page/1591","Influenza","Level 5","Low","Nov-03-2018",44,"2018-19",5
"236","Maine","http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml","Weekly Surveillance Updates","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"237","Maryland","https://phpa.health.maryland.gov/influenza/fluwatch","Influenza Surveillance","Level 2","Minimal","Nov-03-2018",44,"2018-19",2
"238","Massachusetts","http://blog.mass.gov/publichealth/category/flu-facts/","Influenza Surveillance Data","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"239","Michigan","http://www.michigan.gov/mdch/0%252c1607%252c7-132-2940_2955_22779_40563_48357-191722--%252c00.html","Influenza Activity and Surveillance","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"240","Minnesota","http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html","Weekly Influenza Activity: Statistics","Level 3","Minimal","Nov-03-2018",44,"2018-19",3
"241","Mississippi","http://www.msdh.state.ms.us/msdhsite/_static/14%252c0%252c199%252c230.html","Mississippi Flu Surveillance and Influenza-Like Illness Reports","Level 2","Minimal","Nov-03-2018",44,"2018-19",2
"242","Missouri","http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php","Influenza Data & Statistical Reports ","Level 2","Minimal","Nov-03-2018",44,"2018-19",2
"243","Montana","http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx","Influenza: What You Need to Know","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"244","Nebraska","http://dhhs.ne.gov/publichealth/Pages/flu.aspx","Weekly Flu Report","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"245","Nevada","http://dpbh.nv.gov/Programs/OPHIE/dta/Publications/Public_Health_Informatics_and_Epidemiology_(OPHIE)_-_Publications/","Influenza (Flu): Surveillance, News Releases and Brochures","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"246","New Hampshire","http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm","Influenza Control and Surveillance","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"247","New Jersey","http://www.nj.gov/health/cd/topics/flu.shtml","Seasonal Influenza - Surveillance","Level 3","Minimal","Nov-03-2018",44,"2018-19",3
"248","New Mexico","https://nmhealth.org/about/erd/ideb/isp/","Flu in New Mexico","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"249","New York","http://www.health.ny.gov/diseases/communicable/influenza/surveillance/","Influenza Activity, Surveillance and Reports","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"250","North Carolina","http://www.flu.nc.gov/%20","North Carolina Influenza Update","Level 2","Minimal","Nov-03-2018",44,"2018-19",2
"251","North Dakota","http://www.ndflu.com/default.aspx","Influenza","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"252","Ohio","http://www.flu.ohio.gov%20","Influenza Information","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"253","Oklahoma","https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html","Influenza Information","Level 3","Minimal","Nov-03-2018",44,"2018-19",3
"254","Oregon","http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx","Influenza Disease Surveillance Data","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"255","Pennsylvania","http://www.flufreepa.com","Influenza Weekly Report ","Level 2","Minimal","Nov-03-2018",44,"2018-19",2
"256","Rhode Island","http://www.health.ri.gov/data/flu/index.php","Influenza Surveillance","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"257","South Carolina","http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/","Influenza Activity and Surveillance","Level 3","Minimal","Nov-03-2018",44,"2018-19",3
"258","South Dakota","http://doh.sd.gov/diseases/infectious/flu/default.aspx","Influenza Information","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"259","Tennessee","http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html","Influenza-Like Illness Surveillance Summary Archive","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"260","Texas","http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/","Influenza Surveillance","Level 2","Minimal","Nov-03-2018",44,"2018-19",2
"261","Utah","http://health.utah.gov/epi/diseases/influenza/surveillance/index.html","Seasonal Influenza Weekly Update","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"262","Vermont","http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance","Flu Activity","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"263","Virginia","http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/","Virginia Weekly Influenza Activity Report","Level 3","Minimal","Nov-03-2018",44,"2018-19",3
"264","Washington","http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData","Influenza Update","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"265","West Virginia","http://www.dhhr.wv.gov/oeps/disease/flu/Pages/fluSurveillance.aspx","Current Influenza Surveillance","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"266","Wisconsin","http://www.dhs.wisconsin.gov/communicable/influenza/index.htm","Tracking Influenza in Wisconsin","Level 2","Minimal","Nov-03-2018",44,"2018-19",2
"267","Wyoming","https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/","Influenza","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"268","New York City","http://www1.nyc.gov/site/doh/providers/health-topics/flu-alerts.page","Surveillance Data","Level 3","Minimal","Nov-03-2018",44,"2018-19",3
"269","Puerto Rico","http://www.salud.gov.pr/Estadisticas-Registros-y-Publicaciones/Pages/Influenza.aspx","Puerto Rico Departamento de Salud","Level 1","Minimal","Nov-03-2018",44,"2018-19",1
"270","Virgin Islands","http://doh.vi.gov/","Influenza","Level 2","Minimal","Nov-03-2018",44,"2018-19",2
"271","Alabama","http://adph.org/influenza/","Influenza Surveillance","Level 5","Low","Nov-10-2018",45,"2018-19",5
"272","Alaska","http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20","Influenza Surveillance Report","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"273","Arizona","http://www.azdhs.gov/phs/oids/epi/flu/index.htm","Influenza & RSV Surveillance","Level 2","Minimal","Nov-10-2018",45,"2018-19",2
"274","Arkansas","http://www.healthy.arkansas.gov/programs-services/topics/influenza","Communicable Disease and Immunizations","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"275","California","https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx","Influenza (Flu)","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"276","Colorado","https://www.colorado.gov/pacific/cdphe/influenza","Influenza Surveillance","Level 3","Minimal","Nov-10-2018",45,"2018-19",3
"277","Connecticut","http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics","Flu Statistics","Level 2","Minimal","Nov-10-2018",45,"2018-19",2
"278","Delaware","http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html","Weekly Influenza Surveillance Reports","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"279","District of Columbia","http://doh.dc.gov/page/influenza-season","Influenza Information","Level 2","Minimal","Nov-10-2018",45,"2018-19",2
"280","Florida","http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20","Weekly Influenza Surveillance Reports","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"281","Georgia","https://dph.georgia.gov/flu-activity-georgia","Weekly Influenza Surveillance in Georgia","Level 6","Moderate","Nov-10-2018",45,"2018-19",6
"282","Hawaii","http://health.hawaii.gov/docd/resources/reports/influenza-reports/","Hawaii's Influenza Surveillance Program","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"283","Idaho","http://flu.idaho.gov","Influenza","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"284","Illinois","http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/surveillance","Seasonal Influenza Surveillance Reports","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"285","Indiana","http://www.in.gov/isdh/22104.htm","Influenza in Indiana","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"286","Iowa","http://idph.iowa.gov/influenza/surveillance","Iowa Influenza Surveillance Network","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"287","Kansas","http://www.kdheks.gov/flu/surveillance.htm","Influenza Information","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"288","Kentucky","https://chfs.ky.gov/agencies/dph/dehp/idb/Pages/influenza.aspx","Influenza - Flu","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"289","Louisiana","http://new.dhh.louisiana.gov/index.cfm/page/1591","Influenza","Level 6","Moderate","Nov-10-2018",45,"2018-19",6
"290","Maine","http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml","Weekly Surveillance Updates","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"291","Maryland","https://phpa.health.maryland.gov/influenza/fluwatch","Influenza Surveillance","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"292","Massachusetts","http://blog.mass.gov/publichealth/category/flu-facts/","Influenza Surveillance Data","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"293","Michigan","http://www.michigan.gov/mdch/0%252c1607%252c7-132-2940_2955_22779_40563_48357-191722--%252c00.html","Influenza Activity and Surveillance","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"294","Minnesota","http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html","Weekly Influenza Activity: Statistics","Level 2","Minimal","Nov-10-2018",45,"2018-19",2
"295","Mississippi","http://www.msdh.state.ms.us/msdhsite/_static/14%252c0%252c199%252c230.html","Mississippi Flu Surveillance and Influenza-Like Illness Reports","Level 3","Minimal","Nov-10-2018",45,"2018-19",3
"296","Missouri","http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php","Influenza Data & Statistical Reports ","Level 2","Minimal","Nov-10-2018",45,"2018-19",2
"297","Montana","http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx","Influenza: What You Need to Know","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"298","Nebraska","http://dhhs.ne.gov/publichealth/Pages/flu.aspx","Weekly Flu Report","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"299","Nevada","http://dpbh.nv.gov/Programs/OPHIE/dta/Publications/Public_Health_Informatics_and_Epidemiology_(OPHIE)_-_Publications/","Influenza (Flu): Surveillance, News Releases and Brochures","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"300","New Hampshire","http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm","Influenza Control and Surveillance","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"301","New Jersey","http://www.nj.gov/health/cd/topics/flu.shtml","Seasonal Influenza - Surveillance","Level 3","Minimal","Nov-10-2018",45,"2018-19",3
"302","New Mexico","https://nmhealth.org/about/erd/ideb/isp/","Flu in New Mexico","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"303","New York","http://www.health.ny.gov/diseases/communicable/influenza/surveillance/","Influenza Activity, Surveillance and Reports","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"304","North Carolina","http://www.flu.nc.gov/%20","North Carolina Influenza Update","Level 3","Minimal","Nov-10-2018",45,"2018-19",3
"305","North Dakota","http://www.ndflu.com/default.aspx","Influenza","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"306","Ohio","http://www.flu.ohio.gov%20","Influenza Information","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"307","Oklahoma","https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html","Influenza Information","Level 3","Minimal","Nov-10-2018",45,"2018-19",3
"308","Oregon","http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx","Influenza Disease Surveillance Data","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"309","Pennsylvania","http://www.flufreepa.com","Influenza Weekly Report ","Level 2","Minimal","Nov-10-2018",45,"2018-19",2
"310","Rhode Island","http://www.health.ri.gov/data/flu/index.php","Influenza Surveillance","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"311","South Carolina","http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/","Influenza Activity and Surveillance","Level 4","Low","Nov-10-2018",45,"2018-19",4
"312","South Dakota","http://doh.sd.gov/diseases/infectious/flu/default.aspx","Influenza Information","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"313","Tennessee","http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html","Influenza-Like Illness Surveillance Summary Archive","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"314","Texas","http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/","Influenza Surveillance","Level 2","Minimal","Nov-10-2018",45,"2018-19",2
"315","Utah","http://health.utah.gov/epi/diseases/influenza/surveillance/index.html","Seasonal Influenza Weekly Update","Level 3","Minimal","Nov-10-2018",45,"2018-19",3
"316","Vermont","http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance","Flu Activity","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"317","Virginia","http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/","Virginia Weekly Influenza Activity Report","Level 4","Low","Nov-10-2018",45,"2018-19",4
"318","Washington","http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData","Influenza Update","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"319","West Virginia","http://www.dhhr.wv.gov/oeps/disease/flu/Pages/fluSurveillance.aspx","Current Influenza Surveillance","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"320","Wisconsin","http://www.dhs.wisconsin.gov/communicable/influenza/index.htm","Tracking Influenza in Wisconsin","Level 2","Minimal","Nov-10-2018",45,"2018-19",2
"321","Wyoming","https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/","Influenza","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"322","New York City","http://www1.nyc.gov/site/doh/providers/health-topics/flu-alerts.page","Surveillance Data","Level 4","Low","Nov-10-2018",45,"2018-19",4
"323","Puerto Rico","http://www.salud.gov.pr/Estadisticas-Registros-y-Publicaciones/Pages/Influenza.aspx","Puerto Rico Departamento de Salud","Level 3","Minimal","Nov-10-2018",45,"2018-19",3
"324","Virgin Islands","http://doh.vi.gov/","Influenza","Level 1","Minimal","Nov-10-2018",45,"2018-19",1
"325","Alabama","http://adph.org/influenza/","Influenza Surveillance","Level 5","Low","Nov-17-2018",46,"2018-19",5
"326","Alaska","http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20","Influenza Surveillance Report","Level 2","Minimal","Nov-17-2018",46,"2018-19",2
"327","Arizona","http://www.azdhs.gov/phs/oids/epi/flu/index.htm","Influenza & RSV Surveillance","Level 3","Minimal","Nov-17-2018",46,"2018-19",3
"328","Arkansas","http://www.healthy.arkansas.gov/programs-services/topics/influenza","Communicable Disease and Immunizations","Level 3","Minimal","Nov-17-2018",46,"2018-19",3
"329","California","https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx","Influenza (Flu)","Level 2","Minimal","Nov-17-2018",46,"2018-19",2
"330","Colorado","https://www.colorado.gov/pacific/cdphe/influenza","Influenza Surveillance","Level 4","Low","Nov-17-2018",46,"2018-19",4
"331","Connecticut","http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics","Flu Statistics","Level 2","Minimal","Nov-17-2018",46,"2018-19",2
"332","Delaware","http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html","Weekly Influenza Surveillance Reports","Level 1","Minimal","Nov-17-2018",46,"2018-19",1
"333","District of Columbia","http://doh.dc.gov/page/influenza-season","Influenza Information","Level 3","Minimal","Nov-17-2018",46,"2018-19",3
"334","Florida","http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20","Weekly Influenza Surveillance Reports","Level 1","Minimal","Nov-17-2018",46,"2018-19",1
"335","Georgia","https://dph.georgia.gov/flu-activity-georgia","Weekly Influenza Surveillance in Georgia","Level 7","Moderate","Nov-17-2018",46,"2018-19",7
